Link,Dead_ Link_Count
https://en.wikipedia.org/wiki/2010_Louisiana%E2%80%93Lafayette_Ragin%27_Cajuns_football_team,1
https://en.wikipedia.org/wiki/8-track_cartridge,7
https://en.wikipedia.org/wiki/Carolina_Panthers,1
"https://en.wikipedia.org/wiki/Dennis,_Massachusetts",1
https://en.wikipedia.org/wiki/Edmonton_Football_Team,1
https://en.wikipedia.org/wiki/Jacquizz_Rodgers,1
https://en.wikipedia.org/wiki/Latrophilin_receptor,4
https://en.wikipedia.org/wiki/List_of_mosques_in_Pakistan,12
https://en.wikipedia.org/wiki/Lists_of_populated_places_in_the_United_States,1
https://en.wikipedia.org/wiki/Lophophine,3
https://en.wikipedia.org/wiki/MCV_(magazine),1
https://en.wikipedia.org/wiki/Melanoma,1
https://en.wikipedia.org/wiki/Messenia,2
https://en.wikipedia.org/wiki/Monoamine_transporter,2
https://en.wikipedia.org/wiki/Onslaught_(comics),1
https://en.wikipedia.org/wiki/Pacific-12_Conference_football_individual_awards,7
https://en.wikipedia.org/wiki/SLC24A5,11
https://en.wikipedia.org/wiki/Salicylic_acid,10
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/1977_Chicago_White_Sox_season,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Talk:Aphrodite,1
https://en.wikipedia.org/wiki/TV4_(Sweden),1
https://en.wikipedia.org/wiki/Tandamine,1
https://en.wikipedia.org/wiki/Task_force,1
https://en.wikipedia.org/wiki/Betrayal_(play),1
"https://en.wikipedia.org/wiki/Bismarck,_North_Dakota",3
https://en.wikipedia.org/wiki/Blockbuster_Video,2
https://en.wikipedia.org/wiki/Claude_Chevallon,1
https://en.wikipedia.org/wiki/Cleveland_City_Council,2
https://en.wikipedia.org/wiki/Danilo_Dolci,3
https://en.wikipedia.org/wiki/Editio_princeps,1
https://en.wikipedia.org/wiki/Eurosport_2_Xtra_(Portugal),2
https://en.wikipedia.org/wiki/Forest_Park_(St._Louis),6
https://en.wikipedia.org/wiki/ISO/IEC_8859-3,24
https://en.wikipedia.org/wiki/Igor_Matovi%C4%8D,1
https://en.wikipedia.org/wiki/Kouvola,2
https://en.wikipedia.org/wiki/L%27Unione_Sarda,1
https://en.wikipedia.org/wiki/Les_Luthiers,3
https://en.wikipedia.org/wiki/List_of_Unicode_characters,9
https://en.wikipedia.org/wiki/MapArt,1
https://en.wikipedia.org/wiki/Misogyny,1
https://en.wikipedia.org/wiki/Mojiky%C5%8D,1
https://en.wikipedia.org/wiki/New_Jersey_General_Assembly,4
https://en.wikipedia.org/wiki/Northern_S%C3%A1mi_orthography,1
https://en.wikipedia.org/wiki/Orlando_Sentinel,6
https://en.wikipedia.org/wiki/Royal_Institute_of_British_Architects,4
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Satakunta,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:Edit_template-protected,1
https://en.wikipedia.org/wiki/Special:RecentChangesLinked/Template:Importance_mask/doc,1
https://en.wikipedia.org/wiki/Stylotermitidae,1
https://en.wikipedia.org/wiki/Tanzania,2
https://en.wikipedia.org/wiki/Template:Culture_of_India,1
https://en.wikipedia.org/wiki/Template:Navboxes_colour,1
https://en.wikipedia.org/wiki/UNAM,1
https://en.wikipedia.org/wiki/United_States_Securities_and_Exchange_Commission,1
https://en.wikipedia.org/wiki/Viswanathan_Anand,1
https://en.wikipedia.org/wiki/Wikipedia,3
https://en.wikipedia.org/wiki/Academy_of_Natural_Sciences_of_Drexel_University,1
https://en.wikipedia.org/wiki/Bowling_Green_State_University,2
https://en.wikipedia.org/wiki/Norm_of_the_North,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template:Tinc,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Group/User:Triester,1
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Editnotices/Page/Plug-in_electric_vehicle,4
https://en.wikipedia.org/wiki/Special:WhatLinksHere/Template_talk:Tinc/testcases,2
https://en.wikipedia.org/wiki/Wikipedia:Multilingual_statistics,2
https://en.wikipedia.org/wiki/Agriculture_in_Albania,3
https://en.wikipedia.org/wiki/Arcadia,3
https://en.wikipedia.org/wiki/Badnagar_(Vidhan_Sabha_constituency),3
https://en.wikipedia.org/wiki/Banking_in_South_Sudan,7
https://en.wikipedia.org/wiki/Betrayal_(play),1
"https://en.wikipedia.org/wiki/Bismarck,_North_Dakota",3
https://en.wikipedia.org/wiki/Blockbuster_Video,2
https://en.wikipedia.org/wiki/Category:Films_about_United_States_Secret_Service,1
https://en.wikipedia.org/wiki/Category:Tor_onion_services,1
https://en.wikipedia.org/wiki/Claude_Chevallon,1
https://en.wikipedia.org/wiki/Cleveland_City_Council,2
https://en.wikipedia.org/wiki/Danilo_Dolci,3
https://en.wikipedia.org/wiki/Editio_princeps,1
https://en.wikipedia.org/wiki/Eurosport_2_Xtra_(Portugal),2
https://en.wikipedia.org/wiki/Forest_Park_(St._Louis),6
https://en.wikipedia.org/wiki/ISO/IEC_8859-3,24
https://en.wikipedia.org/wiki/Igor_Matovi%C4%8D,1
https://en.wikipedia.org/wiki/Illyrian_Wars,5
https://en.wikipedia.org/wiki/Karen_Spilka,3
https://en.wikipedia.org/wiki/Kouvola,2
https://en.wikipedia.org/wiki/L%27Unione_Sarda,1
https://en.wikipedia.org/wiki/Legislative_council,1
https://en.wikipedia.org/wiki/Les_Luthiers,3
https://en.wikipedia.org/wiki/Liberalism_and_radicalism_in_Italy,1
https://en.wikipedia.org/wiki/List_of_Unicode_characters,9
https://en.wikipedia.org/wiki/List_of_banks_in_Egypt,1
https://en.wikipedia.org/wiki/MapArt,1
https://en.wikipedia.org/wiki/Massachusetts_State_Auditor,2
https://en.wikipedia.org/wiki/Misogyny,1
https://en.wikipedia.org/wiki/Mojiky%C5%8D,1
https://en.wikipedia.org/wiki/National_Congress_of_Nicaragua,8
https://en.wikipedia.org/wiki/New_Jersey_General_Assembly,4
https://en.wikipedia.org/wiki/Northern_S%C3%A1mi_orthography,1
https://en.wikipedia.org/wiki/Orlando_Sentinel,6
https://en.wikipedia.org/wiki/Royal_Institute_of_British_Architects,4
